Timestamp,GPU Index,GPU Name,Utilization %,Memory Used (MiB),Memory Total (MiB)
2025-05-02 10:25:45,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 10:25:45,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 10:27:45,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 10:27:45,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 10:27:45,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 10:29:45,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 10:29:45,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 10:29:45,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 10:31:45,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 10:31:45,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 10:31:45,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 10:33:45,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 10:33:45,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 10:33:45,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 10:35:46,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 10:35:46,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 10:35:46,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 10:37:46,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 10:37:46,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 10:37:46,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 10:39:46,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 10:39:46,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 10:39:46,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 10:41:46,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 10:41:46,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 10:41:46,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 10:43:46,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 10:43:46,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
